name,GTIN,price,stock_quantity
NYX Midnight Chaos Chromatic Lip Gloss 06 Galactic,800897170196,1.00,222
NYX Midnight Chaos Chromatic Lip Gloss 07 Cosmic Rain,800897170202,1.00,237
NYX Midnight Chaos Chromatic Lip Gloss 08 Prismatic,800897170219,1.00,217
NYX Midnight Chaos Chromatic Lip Gloss 09 Galactic Blue,800897170226,1.00,225
NYX Midnight Chaos Chromatic Lip Gloss 10 Melted Onyx,800897170233,1.00,179
NYX Midnight Chaos Chromatic Lip Gloss 11 Dark Dimension,800897170240,1.00,223
NYX Midnight Chaos Chromatic Lip Gloss 12 Mimsy,800897170257,1.00,223
NYX Midnight Chaos Dual Ended Eyeliner 04 Purple / Mirror Image,800897172213,1.00,45
NYX Midnight Chaos Dual Ended Eyeliner 05 Rust / Midnight Rouge,800897172220,1.00,124
NYX Strictly Vinyl Lip Gloss 05 Rebel,800897137793,1.00,192
NYX Strictly Vinyl Lip Gloss 08 Bad Seed,800897137878,1.00,110
Quick Fix Facials Silver Peel Mask,5060528313742,0.35,376
Revlon Super Lustrous Matte Is Everything Lipstick 052 Show Stopper,309973025066,1.25,229
Revolution Makeup Ultra Strobe Balm Palette,5029066093981,1.95,39
Sleek Lip V.I.P Lipstick 1002 Private Booth,93126271,0.30,1118
Bourjois  Always Fabulous 24 Hour Concealer 450 Golden Beige,3614228689885,1.25,182
Bourjois  Always Fabulous 24 Hour Concealer 600 Chocolate,3614228689908,0.95,505
Bourjois 1 Seconde Gel Nail Polish & Top Coat 32 Vampire Vanity,3052503533209,0.20,769
Bourjois Always Fabulous 24 Hour Foundation 600 Chocolate,3614228413008,1.00,512
Bourjois La Laque Nail Polish 11 Only Bluuuue,3052503301105,0.25,198
Bourjois La Laque Nail Polish 12 Ni Vernis Bleu,3052503301204,0.25,459
Essie Leave No Trace Glitter Nail Polish Remover,3600531072339,1.50,60
Essie Mini Nail Lacquer 318 Resort Fling,,0.50,400
Essie Nail lacquer Nail Polish 557 Sunny Daze,30169302,2.00,132
Essie Nail Lacquer Nail Polish 89 Over The Edge,30095915,2.00,66
L'Oreal Age Perfect and Illuminate Foundation 350 Sable,3600523330195,3.50,81
L'Oreal Color Riche Balmain Limited Edition Lipstick - 650 Power,3600523513352,1.75,139
L'Oreal Color Riche Balmain Limited Edition Lipstick - 905 Balmain Instinct,3600523554928,1.75,223
L'Oreal Color Riche Matte Lipstick 358 Lava,3600523584789,2.00,286
L'Oreal Color Riche Matte Lipstick 463 Plum Tuxedo,3600523399895,2.25,87
L'Oreal Color Riche Ultra Matte Lipstick No Prejudice,3600523747160,1.75,1200
L'Oreal Infallible Eye Paint Eyeshadow 207 Sassy Squad,3600523482177,0.50,357
L'Oréal Infallible Lip Gloss Neon 305 Miami Vice,3600522996644,1.00,29
L'Oréal Infallible Lip Gloss Neon 306 More Of Bora Bora,3600522996651,0.75,94
L'Oreal Paris Age Perfect Moisturising Cuticle Care,4037900288364,0.60,38
L'Oreal Paris Brilliant Signature High Shine Lip gloss 301 Be Determined,3600523794829,1.95,689
L'Oreal Paris Brilliant Signature High Shine Lip gloss 308 Be Demanding,3600523794867,1.00,1200
L'Oreal Paris Brilliant Signature Lip gloss - 306 Be Innovative,3600523794881,1.60,134
L'Oreal Paris Brilliant Signature Lip gloss 311 Be Brillant,3600523794959,1.75,43
L'Oreal Paris Infaillible More Than Concealer - 343 Truffe,30173538,1.50,349
Lash FX Build Me Up Black Mascara,5060144872296,2.25,11
Max Factor 2000 Calorie Waterproof Volume Mascara Black Brown,3614225851476,3.00,982
